flow,stage,n_obs,pref.average,pci2,segment,minimally.acceptable.flow,maximally.acceptable.flow
100,NA,35,-1.48571428571429,0.0678104575163399,Poudre Whitewater Park,354.79704797048,NA
200,NA,36,-0.972222222222222,0.0686728395061728,Poudre Whitewater Park,354.79704797048,NA
300,NA,35,-0.257142857142857,0.191176470588235,Poudre Whitewater Park,354.79704797048,NA
400,NA,33,0.212121212121212,0.318014705882353,Poudre Whitewater Park,354.79704797048,NA
500,NA,33,0.696969696969697,0.535845588235294,Poudre Whitewater Park,354.79704797048,NA
600,NA,33,1.33333333333333,0.198529411764706,Poudre Whitewater Park,354.79704797048,NA
700,NA,32,1.3125,0.2734375,Poudre Whitewater Park,354.79704797048,NA
800,NA,32,1.3125,0.228515625,Poudre Whitewater Park,354.79704797048,NA
900,NA,32,1.28125,0.3701171875,Poudre Whitewater Park,354.79704797048,NA
1000,NA,32,1.28125,0.4052734375,Poudre Whitewater Park,354.79704797048,NA
1200,NA,31,1.41935483870968,0.288541666666667,Poudre Whitewater Park,354.79704797048,NA
1400,NA,30,1.5,0.311111111111111,Poudre Whitewater Park,354.79704797048,NA
1600,NA,31,1.19354838709677,0.551041666666667,Poudre Whitewater Park,354.79704797048,NA
1800,NA,29,1.20689655172414,0.425,Poudre Whitewater Park,354.79704797048,NA
2000,NA,29,0.96551724137931,0.586904761904762,Poudre Whitewater Park,354.79704797048,NA
3000,NA,29,0.724137931034483,0.561904761904762,Poudre Whitewater Park,354.79704797048,NA
4000,NA,28,0.571428571428571,0.661989795918367,Poudre Whitewater Park,354.79704797048,NA
100,NA,64,-1.984375,0,Filter Plant,522.727315639151,NA
200,NA,64,-1.859375,0,Filter Plant,522.727315639151,NA
300,NA,64,-1.390625,0,Filter Plant,522.727315639151,NA
400,NA,64,-0.609375,0.2626953125,Filter Plant,522.727315639151,NA
500,NA,64,-0.078125,0.29638671875,Filter Plant,522.727315639151,NA
600,NA,64,0.265625,0.3623046875,Filter Plant,522.727315639151,NA
700,NA,64,0.53125,0.5380859375,Filter Plant,522.727315639151,NA
800,NA,64,1.234375,0.431884765625,Filter Plant,522.727315639151,NA
900,NA,64,1.34375,0.388671875,Filter Plant,522.727315639151,NA
1000,NA,63,1.53968253968254,0.183971774193548,Filter Plant,522.727315639151,NA
1200,NA,63,1.53968253968254,0.282762096774194,Filter Plant,522.727315639151,NA
1400,NA,64,1.6875,0.239501953125,Filter Plant,522.727315639151,NA
1600,NA,64,1.5625,0.3515625,Filter Plant,522.727315639151,NA
1800,NA,64,1.515625,0.323486328125,Filter Plant,522.727315639151,NA
2000,NA,63,1.55555555555556,0.329133064516129,Filter Plant,522.727315639151,NA
2500,NA,64,1.40625,0.391357421875,Filter Plant,522.727315639151,NA
3000,NA,64,1.328125,0.353271484375,Filter Plant,522.727315639151,NA
3500,NA,63,1.01587301587302,0.554183467741935,Filter Plant,522.727315639151,NA
4000,NA,62,1,0.522372528616025,Filter Plant,522.727315639151,NA
233.120065568106,0.25,75,-1.92,0,Bridges,484.503560118505,NA
248.58266063736,0.5,75,-1.82666666666667,0.0506756756756757,Bridges,484.503560118505,NA
274.07464929069,0.75,75,-1.6,0.0794807965860597,Bridges,484.503560118505,NA
309.504947300995,1,75,-1.24,0.135490753911807,Bridges,484.503560118505,NA
354.810462113751,1.25,75,-0.973333333333333,0.251778093883357,Bridges,484.503560118505,NA
409.942825510225,1.5,76,-0.5,0.316481994459834,Bridges,484.503560118505,NA
474.862809737733,1.75,77,-0.0779220779220779,0.324224021592443,Bridges,484.503560118505,NA
549.537425400761,2,78,0.525641025641026,0.255752794214333,Bridges,484.503560118505,NA
633.93821509552,2.25,78,0.756410256410256,0.33809993425378,Bridges,484.503560118505,NA
728.040163686563,2.5,78,1.16666666666667,0.309664694280079,Bridges,484.503560118505,NA
831.820959569968,2.75,77,1.24675324675325,0.331983805668016,Bridges,484.503560118505,NA
945.260470642831,3,78,1.51282051282051,0.317225509533202,Bridges,484.503560118505,NA
1201.04378978124,3.5,78,1.65384615384615,0.237015121630506,Bridges,484.503560118505,NA
1495.2601436044,4,79,1.68354430379747,0.178685897435897,Bridges,484.503560118505,NA
1827.79741056328,4.5,78,1.56410256410256,0.269888231426693,Bridges,484.503560118505,NA
2198.55703157087,5,78,1.17948717948718,0.429980276134122,Bridges,484.503560118505,NA
2607.45109939529,5.5,76,0.960526315789474,0.520948753462604,Bridges,484.503560118505,NA
233.120065568106,0.25,64,-1.90625,0,Poudre Park,521.602911473027,NA
248.58266063736,0.5,64,-1.828125,0.043701171875,Poudre Park,521.602911473027,NA
274.07464929069,0.75,64,-1.796875,0.043701171875,Poudre Park,521.602911473027,NA
309.504947300995,1,64,-1.515625,0.10498046875,Poudre Park,521.602911473027,NA
354.810462113751,1.25,64,-1.21875,0.2607421875,Poudre Park,521.602911473027,NA
409.942825510225,1.5,64,-0.78125,0.3046875,Poudre Park,521.602911473027,NA
474.862809737733,1.75,63,-0.444444444444444,0.420110887096774,Poudre Park,521.602911473027,NA
549.537425400761,2,64,0.265625,0.34130859375,Poudre Park,521.602911473027,NA
633.93821509552,2.25,65,0.646153846153846,0.297348484848485,Poudre Park,521.602911473027,NA
728.040163686563,2.5,65,0.984615384615385,0.314393939393939,Poudre Park,521.602911473027,NA
831.820959569968,2.75,64,1.171875,0.330810546875,Poudre Park,521.602911473027,NA
945.260470642831,3,65,1.58461538461538,0.207149621212121,Poudre Park,521.602911473027,NA
1201.04378978124,3.5,64,1.71875,0.18310546875,Poudre Park,521.602911473027,NA
1495.2601436044,4,64,1.75,0.142578125,Poudre Park,521.602911473027,NA
1827.79741056328,4.5,65,1.38461538461538,0.443181818181818,Poudre Park,521.602911473027,NA
2198.55703157087,5,65,1.06153846153846,0.548295454545455,Poudre Park,521.602911473027,NA
2607.45109939529,5.5,65,0.953846153846154,0.555397727272727,Poudre Park,521.602911473027,NA
233.120065568106,0.25,61,-2,0,Lower Mishawaka,564.215840693551,NA
248.58266063736,0.5,61,-1.9672131147541,0,Lower Mishawaka,564.215840693551,NA
274.07464929069,0.75,61,-1.86885245901639,0,Lower Mishawaka,564.215840693551,NA
309.504947300995,1,61,-1.72131147540984,0,Lower Mishawaka,564.215840693551,NA
354.810462113751,1.25,61,-1.37704918032787,0.19758064516129,Lower Mishawaka,564.215840693551,NA
409.942825510225,1.5,61,-1.09836065573771,0.213440860215054,Lower Mishawaka,564.215840693551,NA
474.862809737733,1.75,61,-0.819672131147541,0.275268817204301,Lower Mishawaka,564.215840693551,NA
549.537425400761,2,62,-0.0645161290322581,0.362122788761707,Lower Mishawaka,564.215840693551,NA
633.93821509552,2.25,62,0.306451612903226,0.477887617065557,Lower Mishawaka,564.215840693551,NA
728.040163686563,2.5,62,0.790322580645161,0.386316337148803,Lower Mishawaka,564.215840693551,NA
831.820959569968,2.75,62,1.19354838709677,0.372008324661811,Lower Mishawaka,564.215840693551,NA
945.260470642831,3,62,1.56451612903226,0.200312174817898,Lower Mishawaka,564.215840693551,NA
1201.04378978124,3.5,62,1.7258064516129,0.174817898022893,Lower Mishawaka,564.215840693551,NA
1495.2601436044,4,63,1.80952380952381,0.149697580645161,Lower Mishawaka,564.215840693551,NA
1827.79741056328,4.5,63,1.63492063492063,0.280745967741935,Lower Mishawaka,564.215840693551,NA
2198.55703157087,5,61,1.34426229508197,0.375537634408602,Lower Mishawaka,564.215840693551,NA
2607.45109939529,5.5,61,1.14754098360656,0.516935483870968,Lower Mishawaka,564.215840693551,NA
233.120065568106,0.25,58,-2,0,Upper Mishawaka,545.378211852308,NA
248.58266063736,0.5,58,-2,0,Upper Mishawaka,545.378211852308,NA
274.07464929069,0.75,58,-1.87931034482759,0,Upper Mishawaka,545.378211852308,NA
309.504947300995,1,58,-1.70689655172414,0,Upper Mishawaka,545.378211852308,NA
354.810462113751,1.25,58,-1.44827586206897,0.097205707491082,Upper Mishawaka,545.378211852308,NA
409.942825510225,1.5,57,-1.12280701754386,0.221674876847291,Upper Mishawaka,545.378211852308,NA
474.862809737733,1.75,58,-0.862068965517241,0.246730083234245,Upper Mishawaka,545.378211852308,NA
549.537425400761,2,59,0.0508474576271186,0.369827586206897,Upper Mishawaka,545.378211852308,NA
633.93821509552,2.25,59,0.338983050847458,0.345114942528736,Upper Mishawaka,545.378211852308,NA
728.040163686563,2.5,59,0.898305084745763,0.433045977011494,Upper Mishawaka,545.378211852308,NA
831.820959569968,2.75,59,1.22033898305085,0.362068965517241,Upper Mishawaka,545.378211852308,NA
945.260470642831,3,59,1.69491525423729,0.133620689655172,Upper Mishawaka,545.378211852308,NA
1201.04378978124,3.5,59,1.67796610169492,0.272413793103448,Upper Mishawaka,545.378211852308,NA
1495.2601436044,4,60,1.86666666666667,0.095,Upper Mishawaka,545.378211852308,NA
1827.79741056328,4.5,59,1.76271186440678,0.204310344827586,Upper Mishawaka,545.378211852308,NA
2198.55703157087,5,59,1.38983050847458,0.385057471264368,Upper Mishawaka,545.378211852308,NA
2607.45109939529,5.5,59,1.27118644067797,0.415229885057471,Upper Mishawaka,545.378211852308,NA
233.120065568106,0.25,37,-1.91891891891892,0,The Narrows,338.853215907816,1495.2601963137
248.58266063736,0.5,38,-1.47368421052632,0.0858725761772853,The Narrows,338.853215907816,1495.2601963137
274.07464929069,0.75,38,-1.07894736842105,0.254847645429363,The Narrows,338.853215907816,1495.2601963137
309.504947300995,1,38,-0.447368421052632,0.396814404432133,The Narrows,338.853215907816,1495.2601963137
354.810462113751,1.25,37,0.243243243243243,0.530701754385965,The Narrows,338.853215907816,1495.2601963137
409.942825510225,1.5,38,0.552631578947368,0.506925207756233,The Narrows,338.853215907816,1495.2601963137
474.862809737733,1.75,38,1.13157894736842,0.396814404432133,The Narrows,338.853215907816,1495.2601963137
549.537425400761,2,40,1.4,0.31375,The Narrows,338.853215907816,1495.2601963137
633.93821509552,2.25,37,1.40540540540541,0.412280701754386,The Narrows,338.853215907816,1495.2601963137
728.040163686563,2.5,37,1.35135135135135,0.368421052631579,The Narrows,338.853215907816,1495.2601963137
831.820959569968,2.75,36,1.25,0.452932098765432,The Narrows,338.853215907816,1495.2601963137
945.260470642831,3,34,0.764705882352941,0.634948096885813,The Narrows,338.853215907816,1495.2601963137
1201.04378978124,3.5,34,0.470588235294118,0.603806228373702,The Narrows,338.853215907816,1495.2601963137
1495.2601436044,4,33,0,0.591911764705882,The Narrows,338.853215907816,1495.2601963137
1827.79741056328,4.5,32,-0.125,0.783203125,The Narrows,338.853215907816,1495.2601963137
2198.55703157087,5,33,-0.484848484848485,0.760110294117647,The Narrows,338.853215907816,1495.2601963137
2607.45109939529,5.5,33,-0.575757575757576,0.744485294117647,The Narrows,338.853215907816,1495.2601963137
233.120065568106,0.25,40,-2,0,Grandpa's Gorge,854.20683019672,NA
248.58266063736,0.5,41,-2,0,Grandpa's Gorge,854.20683019672,NA
274.07464929069,0.75,41,-2,0,Grandpa's Gorge,854.20683019672,NA
309.504947300995,1,41,-1.90243902439024,0,Grandpa's Gorge,854.20683019672,NA
354.810462113751,1.25,41,-1.82926829268293,0,Grandpa's Gorge,854.20683019672,NA
409.942825510225,1.5,41,-1.53658536585366,0.141071428571429,Grandpa's Gorge,854.20683019672,NA
474.862809737733,1.75,41,-1.39024390243902,0.267857142857143,Grandpa's Gorge,854.20683019672,NA
549.537425400761,2,41,-1,0.49702380952381,Grandpa's Gorge,854.20683019672,NA
633.93821509552,2.25,41,-0.780487804878049,0.495238095238095,Grandpa's Gorge,854.20683019672,NA
728.040163686563,2.5,41,-0.414634146341463,0.516071428571429,Grandpa's Gorge,854.20683019672,NA
831.820959569968,2.75,41,-0.146341463414634,0.511904761904762,Grandpa's Gorge,854.20683019672,NA
945.260470642831,3,42,0.595238095238095,0.384353741496599,Grandpa's Gorge,854.20683019672,NA
1201.04378978124,3.5,42,1.23809523809524,0.197278911564626,Grandpa's Gorge,854.20683019672,NA
1495.2601436044,4,43,1.74418604651163,0.125541125541126,Grandpa's Gorge,854.20683019672,NA
1827.79741056328,4.5,43,1.7906976744186,0.153138528138528,Grandpa's Gorge,854.20683019672,NA
2198.55703157087,5,42,1.66666666666667,0.167800453514739,Grandpa's Gorge,854.20683019672,NA
2607.45109939529,5.5,42,1.4047619047619,0.344104308390023,Grandpa's Gorge,854.20683019672,NA
233.120065568106,0.25,26,-2,0,White Mile Run,1012.5718704161,NA
248.58266063736,0.5,26,-2,0,White Mile Run,1012.5718704161,NA
