Reach Name,Flow (cfs),Rock Stage @ Pine View,Frequency Description
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,22,1.78,Flows exceed this rate 90% of the time
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,38,2.09,Flows exceed this rate 75% of the time
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,89,2.56,Flows exceed this rate 50% of the time
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,301,3.26,Flows exceed this rate 25% of the time
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,577,3.63,Flows exceed this rate 10% of the time
BIG SOUTH CAMPGROUND TO TUNNEL PICNIC GROUND,762,3.78,Flows exceed this rate 1% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,19,0.85,Flows exceed this rate 90% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,53,1.65,Flows exceed this rate 75% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,126,2.29,Flows exceed this rate 50% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,404,3.16,Flows exceed this rate 25% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,972,3.81,Flows exceed this rate 10% of the time
HOME MORAINE TO INDIAN MEADOWS BRIDGE,1372,4.07,Flows exceed this rate 1% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,25,0.91,Flows exceed this rate 90% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,56,1.55,Flows exceed this rate 75% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,135,2.23,Flows exceed this rate 50% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,430,3.14,Flows exceed this rate 25% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,1087,3.86,Flows exceed this rate 10% of the time
INDIAN MEADOWS BRIDGE TO NARROWS PICNIC GROUND,1526,4.13,Flows exceed this rate 1% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,6,1.84,Flows exceed this rate 90% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,18,2.38,Flows exceed this rate 75% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,44,2.79,Flows exceed this rate 50% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,203,3.45,Flows exceed this rate 25% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,308,3.63,Flows exceed this rate 10% of the time
LONG DRAW RESERVOIR TO BIG SOUTH CAMPGROUND,381,3.73,Flows exceed this rate 1% of the time
MISHIWAKA INN TO POUDRE PARK,53,0.94,Flows exceed this rate 90% of the time
MISHIWAKA INN TO POUDRE PARK,91,1.42,Flows exceed this rate 75% of the time
MISHIWAKA INN TO POUDRE PARK,201,2.14,Flows exceed this rate 50% of the time
MISHIWAKA INN TO POUDRE PARK,586,3.09,Flows exceed this rate 25% of the time
MISHIWAKA INN TO POUDRE PARK,1368,3.85,Flows exceed this rate 10% of the time
